  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.09343  0.08774  0.31  100000    8774   93903  5168151  51.68
  1947           1     0.03422  0.03364  0.50   91226    3069   89692  5074248  55.62
  1947           2     0.01690  0.01676  0.50   88157    1477   87419  4984556  56.54
  1947           3     0.01144  0.01137  0.50   86680     986   86187  4897137  56.50
  1947           4     0.00713  0.00710  0.50   85694     609   85390  4810950  56.14
  1947           5     0.00507  0.00506  0.50   85086     431   84870  4725560  55.54
  1947           6     0.00375  0.00374  0.50   84655     317   84496  4640690  54.82
  1947           7     0.00311  0.00311  0.50   84338     262   84207  4556194  54.02
  1947           8     0.00234  0.00233  0.50   84076     196   83978  4471987  53.19
  1947           9     0.00214  0.00214  0.50   83880     180   83790  4388009  52.31
  1947          10     0.00187  0.00187  0.50   83700     156   83622  4304219  51.42
  1947          11     0.00175  0.00175  0.50   83544     146   83471  4220597  50.52
  1947          12     0.00176  0.00175  0.50   83398     146   83325  4137126  49.61
  1947          13     0.00187  0.00187  0.50   83252     155   83174  4053801  48.69
  1947          14     0.00221  0.00220  0.50   83096     183   83005  3970627  47.78
  1947          15     0.00293  0.00292  0.50   82913     242   82792  3887622  46.89
  1947          16     0.00349  0.00348  0.50   82671     288   82527  3804830  46.02
  1947          17     0.00438  0.00437  0.50   82383     360   82203  3722303  45.18
  1947          18     0.00539  0.00538  0.50   82024     441   81803  3640099  44.38
  1947          19     0.00655  0.00653  0.50   81582     532   81316  3558296  43.62
  1947          20     0.00738  0.00736  0.50   81050     596   80752  3476980  42.90
  1947          21     0.00786  0.00783  0.50   80454     630   80139  3396228  42.21
  1947          22     0.00806  0.00803  0.50   79824     641   79503  3316090  41.54
  1947          23     0.00839  0.00835  0.50   79182     662   78852  3236587  40.88
  1947          24     0.00841  0.00837  0.50   78521     658   78192  3157735  40.22
  1947          25     0.00830  0.00826  0.50   77863     643   77542  3079543  39.55
  1947          26     0.00791  0.00788  0.50   77220     609   76916  3002001  38.88
  1947          27     0.00797  0.00794  0.50   76611     608   76307  2925085  38.18
  1947          28     0.00765  0.00762  0.50   76003     579   75713  2848778  37.48
  1947          29     0.00782  0.00779  0.50   75424     587   75130  2773065  36.77
  1947          30     0.00756  0.00753  0.50   74837     563   74555  2697934  36.05
  1947          31     0.00751  0.00748  0.50   74273     555   73996  2623380  35.32
  1947          32     0.00756  0.00754  0.50   73718     556   73440  2549384  34.58
  1947          33     0.00763  0.00761  0.50   73162     556   72884  2475944  33.84
  1947          34     0.00744  0.00742  0.50   72606     538   72337  2403060  33.10
  1947          35     0.00755  0.00752  0.50   72067     542   71796  2330723  32.34
  1947          36     0.00773  0.00770  0.50   71526     551   71250  2258927  31.58
  1947          37     0.00798  0.00795  0.50   70975     564   70692  2187677  30.82
  1947          38     0.00791  0.00788  0.50   70410     555   70133  2116985  30.07
  1947          39     0.00809  0.00806  0.50   69855     563   69574  2046852  29.30
  1947          40     0.00864  0.00860  0.50   69292     596   68995  1977278  28.54
  1947          41     0.00866  0.00862  0.50   68697     592   68401  1908284  27.78
  1947          42     0.00890  0.00886  0.50   68105     603   67803  1839883  27.02
  1947          43     0.00912  0.00908  0.50   67501     613   67195  1772080  26.25
  1947          44     0.00932  0.00928  0.50   66888     621   66578  1704885  25.49
  1947          45     0.00965  0.00960  0.50   66268     636   65949  1638308  24.72
  1947          46     0.01032  0.01027  0.50   65631     674   65294  1572358  23.96
  1947          47     0.01112  0.01106  0.50   64957     718   64598  1507064  23.20
  1947          48     0.01138  0.01131  0.50   64239     727   63876  1442466  22.45
  1947          49     0.01249  0.01241  0.50   63512     788   63118  1378590  21.71
  1947          50     0.01295  0.01287  0.50   62724     807   62321  1315472  20.97
  1947          51     0.01414  0.01404  0.50   61917     869   61482  1253151  20.24
  1947          52     0.01504  0.01493  0.50   61048     911   60592  1191669  19.52
  1947          53     0.01629  0.01616  0.50   60136     972   59651  1131077  18.81
  1947          54     0.01692  0.01678  0.50   59165     993   58668  1071426  18.11
  1947          55     0.01775  0.01760  0.50   58172    1024   57660  1012758  17.41
  1947          56     0.01918  0.01900  0.50   57148    1086   56606   955098  16.71
  1947          57     0.02105  0.02083  0.50   56063    1168   55479   898492  16.03
  1947          58     0.02378  0.02350  0.50   54895    1290   54250   843013  15.36
  1947          59     0.02513  0.02482  0.50   53604    1330   52939   788764  14.71
  1947          60     0.02913  0.02871  0.50   52274    1501   51524   735824  14.08
  1947          61     0.02912  0.02870  0.50   50773    1457   50045   684301  13.48
  1947          62     0.03345  0.03290  0.50   49316    1623   48505   634256  12.86
  1947          63     0.03629  0.03564  0.50   47693    1700   46843   585752  12.28
  1947          64     0.03885  0.03811  0.50   45993    1753   45117   538909  11.72
  1947          65     0.04281  0.04191  0.50   44240    1854   43313   493792  11.16
  1947          66     0.04649  0.04543  0.50   42386    1926   41424   450478  10.63
  1947          67     0.04953  0.04833  0.50   40461    1956   39483   409055  10.11
  1947          68     0.05510  0.05362  0.50   38505    2065   37473   369572   9.60
  1947          69     0.05818  0.05653  0.50   36440    2060   35410   332099   9.11
  1947          70     0.06524  0.06318  0.50   34380    2172   33294   296689   8.63
  1947          71     0.07092  0.06849  0.50   32208    2206   31105   263395   8.18
  1947          72     0.07630  0.07350  0.50   30002    2205   28900   232289   7.74
